Entity,Code,Year,Global Hunger Index (2021),Donations
Nicaragua,NIC,2021,14.0,https://www.actionagainsthunger.org/location/americas/nicaragua/
Niger,NER,2021,27.5,https://www.actionagainsthunger.org/location/africa/niger/
Nigeria,NGA,2021,28.3,https://www.actionagainsthunger.org/location/africa/nigeria/
North Korea,PRK,2021,25.2,https://www.wfpusa.org/countries/democratic-peoples-republic-of-korea/
North Macedonia,MKD,2021,2.5,https://www.care-international.org/our-work/where-we-work/north-macedonia
Oman,OMN,2021,12.3,https://www.talabat.com/oman/donations
Pakistan,PAK,2021,24.7,https://www.actionagainsthunger.org/location/asia/pakistan/
Panama,PAN,2021,8.9,https://www.foodbanking.org/global-reach/panama/
Papua New Guinea,PNG,2021,27.8,https://projectworldimpact.com/country/papua-new-guinea
Paraguay,PRY,2021,7.5,https://childrenincorporated.org/food-for-children-in-paraguay/
Peru,PER,2021,8.0,https://www.actionagainsthunger.org/location/americas/peru/
Philippines,PHL,2021,16.8,https://www.actionagainsthunger.org/location/asia/philippines/
Romania,ROU,2021,2.5,https://www.actionagainsthunger.org/location/europe/romania/
Russia,RUS,2021,6.2,https://foodbankrus.com/
Rwanda,RWA,2021,26.4,https://www.wfp.org/countries/rwanda
Saudi Arabia,SAU,2021,6.8,https://saudifoodbank.com/
Senegal,SEN,2021,16.3,https://www.actionagainsthunger.org/location/africa/senegal/
Serbia,SRB,2021,2.5,https://www.fflsrb.org/about-us.html
Sierra Leone,SLE,2021,31.3,https://www.actionagainsthunger.org/location/africa/sierra-leone/
Slovakia,SVK,2021,2.5,https://www.foodbankslovakia.sk/
Solomon Islands,SLB,2021,18.8,https://www.solomonsmissioncenter.org/
Somalia,SOM,2021,50.8,https://www.actionagainsthunger.org/location/africa/somalia/
South Africa,ZAF,2021,12.9,https://foodforwardsa.org/
South Sudan,SSD,2021,42.5,https://www.actionagainsthunger.org/location/africa/south-sudan/
Sri Lanka,LKA,2021,16.0,https://www.wfpusa.org/countries/sri-lanka/
Sudan,SDN,2021,25.1,https://www.actionagainsthunger.org/location/africa/sudan/
Suriname,SUR,2021,10.4,https://projectworldimpact.com/country/suriname
Syria,SYR,2021,42.5,https://www.actionagainsthunger.org/location/middle-east/syria/
Tajikistan,TJK,2021,15.0,https://www.wfp.org/countries/tajikistan
Tanzania,TZA,2021,24.7,https://www.actionagainsthunger.org/location/africa/tanzania/
Thailand,THA,2021,11.7,https://www.scholarsofsustenance.org/sos-thailand
Timor,TLS,2021,32.4,https://www.wfp.org/countries/timor-leste
Togo,TGO,2021,23.7,https://www.wfp.org/countries/togo
Trinidad and Tobago,TTO,2021,8.9,https://www.nourishtt.com/
Tunisia,TUN,2021,6.0,https://www.wfp.org/countries/tunisia
Turkey,TUR,2021,2.5,https://www.wfpusa.org/countries/turkiye/
Turkmenistan,TKM,2021,9.7,https://projectworldimpact.com/country/turkmenistan
Uganda,UGA,2021,27.5,https://www.actionagainsthunger.org/location/africa/uganda/
Ukraine,UKR,2021,6.8,https://www.actionagainsthunger.org/location/europe/ukraine/
Uruguay,URY,2021,2.5,https://www.foodbanking.org/global-reach/uruguay/
Uzbekistan,UZB,2021,5.9,https://projectworldimpact.com/country/uzbekistan
Venezuela,VEN,2021,22.2,https://www.actionagainsthunger.org/location/americas/venezuela/
Vietnam,VNM,2021,13.6,https://www.fh.org/about/countries/vietnam/
Yemen,YEM,2021,45.1,https://www.actionagainsthunger.org/location/middle-east/yemen/
Zambia,ZMB,2021,27.5,https://www.actionagainsthunger.org/location/africa/zambia/
Zimbabwe,ZWE,2021,27.5,https://www.actionagainsthunger.org/location/africa/zimbabwe/
